strategy,benchmark,config_id,success,area,latency,error_type,synthesis_time_s
Grid_offline_ref,matmul,380,False,,,pipeline_phi_conflict,2.41
Grid_offline_ref,matmul,381,False,,,pipeline_phi_conflict,2.47
Grid_offline_ref,matmul,382,False,,,pipeline_phi_conflict,2.43
Grid_offline_ref,matmul,383,False,,,pipeline_phi_conflict,2.48
Grid_offline_ref,matmul,384,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,385,False,,,param_incompatibility,0.42
Grid_offline_ref,matmul,386,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,387,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,388,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,389,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,390,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,391,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,392,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,393,False,,,param_incompatibility,2.48
Grid_offline_ref,matmul,394,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,395,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,396,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,397,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,398,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,399,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,400,False,,,param_incompatibility,2.41
Grid_offline_ref,matmul,401,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,402,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,403,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,404,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,405,False,,,param_incompatibility,2.44
Grid_offline_ref,matmul,406,False,,,param_incompatibility,2.42
Grid_offline_ref,matmul,407,False,,,param_incompatibility,2.46
Grid_offline_ref,matmul,408,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,409,False,,,param_incompatibility,0.41
Grid_offline_ref,matmul,410,False,,,param_incompatibility,2.43
Grid_offline_ref,matmul,411,False,,,param_incompatibility,2.45
Grid_offline_ref,matmul,412,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,413,False,,,param_incompatibility,2.47
Grid_offline_ref,matmul,414,False,,,param_incompatibility,2.47
